BSAA,BSBA,BSCA,PYEA,BSFA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,PLCB,PRCB,PLFB,PRFB,PKAC,PACC,PMPC,PPRC,RCHD,PGID,TGID,POID,PUND,PHPD,PSPD,PRSD,PGHE,PUHE,PPOE,PBRE,PEYE,TRAF,PPBF,PBSH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PPRI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,PTRK,PBTK,PTAL,PIBL,PHCL,PLEL,PREL,PLKL,PSPL,PLSL,PHLM,PSTM,PHAN,PJEN,PTEN,PLHN,PRHN,PLKN,PRKN,PLSO,PTHP,PIMP,PJMP,PTYP,PCAR,PSAR,PTAR,PLCR,PJER,PLKR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PPBS,PRBS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,BSBT,SPCT,BSCT,BSFT,PHGT,BSGT,PWGT,PHIT,BSPT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,PESV,PBFW,PLHW,PLTW,PLSY,PSTY,sgmp,
10,2,6,0,4,7,3,3,51,Daddy,Dirtbag,7,10,6,47,0,0,0,3,3,0,0,46,53,0,46,10871,70,1,70,0,0,52,2,168,0,45,0,1,45,42,52,3,3,54,2,2,50,4,40,0,48,52,53,0,0,5,51,44,0,54,2,12,12,0,0,5,1,23,0,41,0,0,0,2,2,1,48,78,52,0,49,52,0,0,0,0,53,0,5,53,50,49,51,15,15,39,43,6,0,49,1,13,48,46,5,20,51,0,5,73,0,35,47,10,46,10,5,0,49,49,44,46,54,46,46,46,39,0,0,0,0,0,
10,10,0,3,3,9,16,16,46,Daddy,Dirtbag,6,10,7,51,0,0,0,0,0,0,0,46,54,0,45,10862,71,1,71,0,0,51,0,64,0,84,0,0,48,76,50,4,4,50,2,2,54,18,40,0,52,44,50,0,0,37,51,48,0,50,2,6,6,1,0,0,3,44,0,61,0,0,0,2,2,1,48,68,45,0,52,53,0,0,0,1,47,0,0,46,49,49,54,10,10,84,83,3,0,46,3,7,49,49,24,15,47,20,20,74,15,85,45,0,49,15,14,0,51,48,46,48,51,52,51,48,79,0,1,0,0,0,
10,10,4,1,10,6,3,3,47,Daddy,Dirtbag,8,6,10,49,0,2,2,0,0,0,0,51,54,0,51,2314,72,1,72,0,0,52,0,160,0,65,0,0,51,28,46,3,3,48,1,1,50,2,40,1,52,48,53,0,0,26,47,52,0,52,0,0,0,0,0,4,4,0,0,5,2,0,0,1,1,1,52,78,50,0,51,45,0,0,0,0,48,0,4,54,44,50,45,10,10,40,29,6,0,47,2,16,51,48,5,10,47,29,26,72,10,30,45,8,52,10,10,0,51,50,54,53,50,51,46,47,38,0,0,0,0,0,
6,10,7,3,10,6,3,3,54,Daddy,Dirtbag,5,10,10,44,0,0,0,0,0,1,1,52,47,0,46,9247,73,1,73,0,0,47,0,12,0,52,0,1,54,46,53,3,3,44,2,2,50,7,40,0,49,50,44,0,0,10,44,52,0,44,0,4,4,0,0,0,3,43,0,37,0,0,0,1,1,1,52,72,49,0,48,47,0,0,1,0,45,0,0,53,49,49,48,3,3,48,43,2,0,50,2,1,44,53,0,6,51,29,0,70,0,35,54,5,53,10,10,0,50,49,46,51,49,47,46,46,51,0,0,0,0,0,
4,2,8,2,0,3,15,15,48,Daddy,Dirtbag,4,3,2,49,0,2,2,0,0,0,0,49,44,0,53,10899,74,1,74,0,0,53,0,94,0,63,0,0,45,32,48,4,4,53,2,2,49,13,40,0,51,47,47,0,0,3,49,48,0,48,2,0,0,0,0,0,1,8,0,97,0,0,0,1,1,1,49,72,50,0,54,52,0,0,1,0,44,0,0,53,52,49,46,2,2,42,29,3,0,48,5,12,47,45,21,21,54,8,20,76,16,105,52,0,49,10,16,0,49,51,51,46,44,49,47,53,39,0,0,0,0,0,
8,10,5,1,10,7,3,3,46,Daddy,Dirtbag,7,8,7,46,0,0,0,0,0,0,0,53,47,0,44,1344,75,1,75,0,0,54,0,68,0,78,0,0,48,43,51,3,3,53,1,1,48,0,40,0,50,51,50,0,0,31,52,53,0,52,0,0,0,0,0,7,3,7,0,26,1,0,0,1,1,1,45,65,54,0,52,47,0,0,0,0,47,0,7,49,48,49,54,1,1,42,41,6,0,46,2,16,49,49,0,6,44,30,0,71,0,0,52,7,45,0,1,0,52,45,46,48,50,54,45,45,43,0,0,0,0,0,
10,10,4,3,10,6,3,3,49,Daddy,Dirtbag,8,6,10,46,0,0,0,2,2,1,1,45,51,0,48,10974,76,1,76,0,0,51,0,168,0,76,0,1,44,31,45,3,3,53,1,1,49,10,40,1,44,46,49,0,0,21,50,48,0,48,0,0,0,0,0,7,5,2,0,3,2,0,0,1,1,1,46,62,53,0,47,50,0,0,0,0,49,0,7,51,49,48,46,0,0,45,45,4,0,48,3,16,53,50,5,10,51,29,26,68,10,25,53,8,48,10,10,0,44,47,46,44,44,48,51,52,42,0,1,0,0,0,
6,10,7,3,10,6,3,3,54,Daddy,Dirtbag,8,10,10,54,0,0,0,1,1,0,0,53,54,0,46,10017,77,1,77,0,0,44,0,170,0,71,0,0,53,28,51,3,3,50,1,1,44,0,40,0,51,50,45,0,0,45,54,46,0,45,0,8,8,0,0,4,6,9,0,23,1,0,0,1,1,1,47,62,49,0,44,50,0,0,0,0,51,0,4,46,48,49,52,2,2,38,38,3,0,54,2,16,45,48,0,6,49,29,0,72,0,20,47,8,50,10,10,0,44,47,46,52,47,54,50,47,43,0,0,0,0,0,
4,2,8,2,0,3,13,13,51,Daddy,Dirtbag,4,3,2,50,0,0,0,0,0,1,1,50,48,0,49,104,78,1,78,0,0,52,2,180,0,36,0,1,51,28,54,4,4,51,2,2,54,2,40,0,51,45,49,0,0,44,44,50,0,53,0,6,6,0,0,12,6,14,0,93,1,0,0,1,1,1,44,76,51,0,46,48,0,0,0,0,52,0,12,47,53,49,53,10,10,51,19,4,0,46,5,12,52,45,21,21,49,8,20,77,16,85,53,0,53,10,16,0,49,50,44,53,44,51,44,47,27,0,0,0,0,0,
10,2,6,0,4,7,0,0,50,Daddy,Dirtbag,7,10,6,54,0,1,1,1,1,0,0,51,47,0,51,8711,79,1,79,0,0,47,0,49,0,51,0,1,51,70,52,3,3,47,2,2,53,0,40,1,44,51,51,0,0,44,53,47,0,54,2,0,0,0,0,0,6,8,0,30,1,0,0,2,2,1,47,68,49,0,49,45,0,0,1,0,46,0,0,53,47,50,52,10,10,64,72,3,0,52,2,2,52,49,5,20,51,0,5,75,0,52,45,10,47,10,5,0,44,50,50,53,52,50,51,45,69,0,0,0,0,0,
